match_date,year,home_team_name,away_team_name,home_hist_win_rate,away_hist_win_rate,home_hist_draw_rate,away_hist_draw_rate,home_hist_goals_per_game,away_hist_goals_per_game,home_hist_goals_conceded_per_game,away_hist_goals_conceded_per_game,home_hist_matches_played,away_hist_matches_played,hist_win_rate_diff,hist_goals_per_game_diff,is_group_stage,is_knockout,stage_ordinal,home_is_host,away_is_host,home_wc_appearances,away_wc_appearances,wc_appearances_diff,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_total,h2h_home_win_rate,home_elo,away_elo,elo_diff,home_rolling5_win_rate,away_rolling5_win_rate,home_rolling5_goals_pg,away_rolling5_goals_pg,home_rest_days,away_rest_days,home_attack_x_away_defense,away_attack_x_home_defense,elo_x_form_diff,result
1934-06-07,1934,Germany,Austria,0.6666666666666666,0.6666666666666666,0.0,0.0,2.6666666666666665,1.6666666666666667,2.0,1.3333333333333333,3.0,3.0,0.0,0.9999999999999998,0,1,5,0,0,0,0,0,0,0,0,0,0.33,1514.7549286931219,1515.360818655081,-0.6058899619590647,0.6666666666666666,0.6666666666666666,2.6666666666666665,1.6666666666666667,4.0,4.0,3.5555555555555554,3.3333333333333335,-0.0,home team win
1934-06-10,1934,Italy,Czechoslovakia,0.75,1.0,0.25,0.0,2.5,2.6666666666666665,0.5,1.3333333333333333,4.0,3.0,-0.25,-0.16666666666666652,0,1,6,1,0,0,0,0,0,0,0,0,0.33,1548.607137789447,1547.9384769715382,0.668660817908858,0.75,1.0,2.5,2.6666666666666665,7.0,7.0,3.333333333333333,1.3333333333333333,-0.1671652044772145,home team win
1938-06-04,1938,Switzerland,Germany,0.5,0.75,0.0,0.0,2.5,2.75,2.5,2.0,2.0,4.0,-0.25,-0.25,0,1,2,0,0,1,1,0,0,0,0,0,0.33,1499.9999280890197,1530.782830928725,-30.78290283970523,0.5,0.75,2.5,2.75,365.0,365.0,5.0,6.875,7.6957257099263074,draw
1938-06-05,1938,Cuba,Romania,0.33,0.3333333333333333,0.33,0.0,0.0,1.3333333333333333,0.0,2.3333333333333335,0.0,3.0,0.0,0.0,0,1,2,0,0,0,2,-2,0,0,0,0,0.33,1500.0,1483.967653396927,16.032346603072938,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.3333333333333333,5.0,365.0,0.0,0.0,0.0,draw
1938-06-05,1938,France,Belgium,0.25,0.0,0.0,0.0,1.5,0.6666666666666666,1.5,3.0,4.0,3.0,0.25,0.8333333333333334,0,1,2,1,0,2,2,0,0,0,0,0,0.33,1468.736306793522,1453.5018612901067,15.234445503415373,0.25,0.0,1.5,0.6666666666666666,365.0,365.0,4.5,1.0,3.808611375853843,home team win
1938-06-05,1938,Hungary,Dutch East Indies,0.5,0.33,0.0,0.33,2.5,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,1,2,0,0,1,0,1,0,0,0,0,0.33,1499.9660918698307,1500.0,-0.03390813016926586,0.5,0.0,2.5,0.0,365.0,5.0,0.0,0.0,-0.01695406508463293,home team win
1938-06-05,1938,Italy,Norway,0.8,0.33,0.2,0.33,2.4,0.0,0.6,0.0,5.0,0.0,0.0,0.0,0,1,2,0,0,1,0,1,0,0,0,0,0.33,1564.5763448588336,1500.0,64.57634485883364,0.8,0.25,2.4,0.875,365.0,5.0,0.0,0.0,35.516989672358505,home team win
1938-06-05,1938,Brazil,Poland,0.3333333333333333,0.33,0.0,0.33,2.0,0.0,1.6666666666666667,0.0,3.0,0.0,0.0,0.0,0,1,2,0,0,2,0,2,0,0,0,0,0.33,1484.032346603073,1500.0,-15.967653396927062,0.3333333333333333,0.4473684210526316,2.0,1.2894736842105263,365.0,5.0,0.0,0.0,1.8208727557899285,home team win
1938-06-05,1938,Czechoslovakia,Netherlands,0.75,0.0,0.0,0.0,2.25,2.0,1.5,3.0,4.0,1.0,0.75,0.25,0,1,2,0,0,1,1,0,0,0,0,0,0.33,1531.9692699021516,1484.0,47.96926990215161,0.75,0.0,2.25,2.0,365.0,365.0,6.75,3.0,35.97695242661371,home team win
1938-06-09,1938,Cuba,Romania,0.0,0.25,1.0,0.25,3.0,1.75,3.0,2.5,1.0,4.0,-0.25,1.25,0,1,2,0,0,0,2,-2,0,0,1,1,0.0,1499.262206751386,1484.705446645541,14.556760105844887,0.0,0.25,3.0,1.75,4.0,4.0,7.5,5.25,-3.639190026461222,home team win
1938-06-09,1938,Switzerland,Germany,0.3333333333333333,0.6,0.3333333333333333,0.2,2.0,2.4,2.0,1.8,3.0,5.0,-0.26666666666666666,-0.3999999999999999,0,1,2,0,0,1,1,0,0,0,1,1,0.0,1501.4138353561302,1529.3689236616144,-27.955088305484196,0.3333333333333333,0.6,2.0,2.4,5.0,5.0,3.6,4.8,7.454690214795786,home team win
1938-06-12,1938,Brazil,Czechoslovakia,0.5,0.8,0.0,0.0,3.0,2.4,2.5,1.2,4.0,5.0,-0.30000000000000004,0.6000000000000001,0,1,3,0,0,2,1,1,0,0,0,0,0.33,1500.7671669287656,1545.7741338808823,-45.00696695211673,0.5,0.8,3.0,2.4,7.0,7.0,3.5999999999999996,6.0,13.50209008563502,draw
1938-06-12,1938,Hungary,Switzerland,0.6666666666666666,0.5,0.0,0.25,3.6666666666666665,2.5,1.3333333333333333,2.0,3.0,4.0,0.16666666666666663,1.1666666666666665,0,1,3,0,0,1,1,0,0,0,0,0,0.33,1515.967653396927,1518.6984437562116,-2.7307903592845832,0.6666666666666666,0.5,3.6666666666666665,2.5,7.0,3.0,7.333333333333333,3.333333333333333,-0.45513172654743045,home team win
1938-06-12,1938,Italy,France,0.8333333333333334,0.4,0.16666666666666666,0.0,2.3333333333333335,1.8,0.6666666666666666,1.4,6.0,5.0,0.43333333333333335,0.5333333333333334,0,1,3,0,1,1,2,-1,0,0,0,0,0.33,1577.636272517427,1484.035183936196,93.6010885812309,0.8,0.4,1.4,1.8,7.0,7.0,3.2666666666666666,1.2,37.44043543249236,home team win
1938-06-12,1938,Sweden,Cuba,0.5,0.5,0.0,0.5,2.0,2.5,2.0,2.0,2.0,2.0,0.0,-0.5,0,1,3,0,0,1,0,1,0,0,0,0,0.33,1501.9055294743039,1514.5922351560841,-12.686705681780268,0.5,0.5,2.0,2.5,365.0,3.0,4.0,5.0,-0.0,home team win
1938-06-14,1938,Brazil,Czechoslovakia,0.4,0.6666666666666666,0.2,0.16666666666666666,2.6,2.1666666666666665,2.2,1.1666666666666667,5.0,6.0,-0.2666666666666666,0.43333333333333357,0,1,3,0,0,2,1,1,0,0,1,1,0.0,1502.828298133009,1543.713002676639,-40.88470454363005,0.4,0.6,2.6,2.2,2.0,2.0,3.0333333333333337,4.766666666666667,8.176940908726008,home team win
1938-06-16,1938,Hungary,Sweden,0.75,0.6666666666666666,0.0,0.0,3.25,4.0,1.0,1.3333333333333333,4.0,3.0,0.08333333333333337,-0.75,0,1,4,0,0,1,1,0,0,0,0,0,0.33,1532.0934083508096,1518.4895143299764,13.603894020833195,0.75,0.6666666666666666,3.25,4.0,4.0,4.0,4.333333333333333,4.0,1.1336578350694335,home team win
1938-06-16,1938,Italy,Brazil,0.8571428571428571,0.5,0.14285714285714285,0.16666666666666666,2.4285714285714284,2.5,0.7142857142857143,2.0,7.0,6.0,0.3571428571428571,-0.07142857142857162,0,1,4,0,0,1,2,-1,0,0,0,0,0.33,1589.4271261442434,1520.702465454011,68.72466069023244,1.0,0.6,1.8,2.8,4.0,2.0,4.857142857142857,1.7857142857142858,27.489864276092977,home team win
1938-06-19,1938,Brazil,Sweden,0.42857142857142855,0.5,0.14285714285714285,0.0,2.2857142857142856,3.25,2.0,2.25,7.0,4.0,-0.07142857142857145,-0.9642857142857144,0,1,5,0,0,2,1,1,0,0,0,0,0.33,1507.826711468701,1503.1156768388923,4.711034629808637,0.4,0.5,2.2,3.25,3.0,3.0,5.142857142857142,6.5,-0.4711034629808636,home team win
1938-06-19,1938,Italy,Hungary,0.875,0.8,0.125,0.0,2.375,3.6,0.75,1.0,8.0,5.0,0.07499999999999996,-1.225,0,1,6,0,0,1,1,0,0,0,0,0,0.33,1602.3028801295534,1547.4672458418936,54.835634287659786,1.0,0.8,2.0,3.6,3.0,3.0,2.375,2.7,10.967126857531955,home team win
1950-06-24,1950,Brazil,Mexico,0.5,0.0,0.125,0.0,2.5,1.3333333333333333,2.0,4.333333333333333,8.0,3.0,0.5,1.1666666666666667,1,0,0,1,0,3,1,2,0,0,0,0,0.33,1523.6097736016134,1454.9328313337994,68.67694226781396,0.6,0.0,2.8,1.3333333333333333,365.0,365.0,10.833333333333332,2.6666666666666665,41.206165360688374,home team win
1950-06-25,1950,Yugoslavia,Switzerland,0.6666666666666666,0.4,0.0,0.2,2.3333333333333335,2.0,2.3333333333333335,2.0,3.0,5.0,0.2666666666666666,0.3333333333333335,1,0,0,0,0,1,2,-1,0,0,0,0,0.33,1515.2652547335742,1502.5726888023291,12.692565931245099,0.6666666666666666,0.4,2.3333333333333335,2.0,365.0,365.0,4.666666666666667,4.666666666666667,3.3846842483320256,home team win
1950-06-25,1950,England,Chile,0.33,0.6666666666666666,0.33,0.0,0.0,1.6666666666666667,0.0,1.0,0.0,3.0,0.0,0.0,1,0,0,0,0,0,1,-1,0,0,0,0,0.33,1500.0,1514.5279572624968,-14.527957262496784,0.44594594594594594,0.6666666666666666,1.4054054054054055,1.6666666666666667,5.0,365.0,0.0,0.0,3.2066211975781185,home team win
1950-06-25,1950,Spain,United States,0.3333333333333333,0.5,0.3333333333333333,0.0,1.3333333333333333,2.0,1.0,3.25,3.0,4.0,-0.16666666666666669,-0.6666666666666667,1,0,0,0,0,1,2,-1,0,0,0,0,0.33,1500.0659831106968,1499.2319271979734,0.8340559127234428,0.3333333333333333,0.5,1.3333333333333333,2.0,365.0,365.0,4.333333333333333,2.0,-0.1390093187872405,home team win
1950-06-25,1950,Sweden,Italy,0.4,0.8888888888888888,0.0,0.1111111111111111,3.0,2.5555555555555554,2.6,0.8888888888888888,5.0,9.0,-0.4888888888888888,0.44444444444444464,1,0,0,0,0,2,2,0,0,0,0,0,0.33,1487.33261470598,1615.798367362366,-128.46575265638603,0.4,1.0,3.0,2.6,365.0,365.0,2.6666666666666665,6.644444444444444,77.07945159383162,home team win
1950-06-28,1950,Brazil,Switzerland,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.16666666666666666,2.6666666666666665,1.6666666666666667,1.7777777777777777,2.1666666666666665,9.0,6.0,0.22222222222222227,0.9999999999999998,1,0,0,1,0,3,2,1,0,0,0,0,0.33,1536.4876413700802,1487.1569431727753,49.330698197304855,0.6,0.2,2.4,1.4,4.0,3.0,5.777777777777777,2.962962962962963,19.73227927892194,draw
1950-06-28,1950,Yugoslavia,Mexico,0.75,0.0,0.0,0.0,2.5,1.0,1.75,4.25,4.0,4.0,0.75,1.5,1,0,0,0,0,1,1,0,0,0,0,0,0.33,1530.681000363128,1442.0549635653326,88.62603679779545,0.75,0.0,2.5,1.0,3.0,4.0,10.625,1.75,66.46952759834659,home team win
